,1h,2h,3h,4h,5h,6h,7h,8h,9h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h,25h,26h,27h,28h,29h,30h,31h,32h,33h,34h,35h,36h,37h,38h,39h,40h,41h,42h,43h,44h,45h,46h,47h,48h
2010-08-21,8745.990234375,8586.587890625,8361.2158203125,8156.5673828125,7875.11865234375,7538.044921875,7242.0029296875,6972.74462890625,6838.98974609375,6786.42724609375,6814.18701171875,6949.43505859375,7130.58544921875,7615.068359375,8039.9912109375,8444.91015625,8872.1328125,9192.3564453125,9256.2587890625,9442.951171875,9385.591796875,9329.109375,9211.716796875,9138.595703125,8996.4169921875,8931.1435546875,8817.564453125,8716.8046875,8662.396484375,8658.3388671875,8565.6884765625,8604.6513671875,8690.853515625,8837.55859375,9067.7744140625,9450.0859375,9958.0966796875,10210.7734375,10162.9033203125,10003.7265625,9831.111328125,9679.7744140625,9535.5146484375,9295.806640625,9009.72265625,9016.69140625,8781.2236328125,8658.8154296875
2010-08-22,8644.162109375,8475.0791015625,8276.90234375,8112.3603515625,7868.24853515625,7521.00634765625,7212.697265625,6931.9697265625,6778.20361328125,6684.88330078125,6674.3583984375,6750.47216796875,6896.4228515625,7390.4765625,7830.2568359375,8263.005859375,8744.8720703125,9068.6396484375,9150.2119140625,9358.0283203125,9304.783203125,9257.361328125,9131.501953125,9041.6083984375,8892.228515625,8820.228515625,8702.0556640625,8589.0068359375,8527.2373046875,8524.646484375,8416.5009765625,8452.42578125,8560.2783203125,8757.49609375,9057.2109375,9548.205078125,10183.248046875,10493.41015625,10426.470703125,10219.2705078125,10022.0869140625,9889.205078125,9755.78125,9446.6455078125,9119.359375,9125.2255859375,8884.916015625,8775.84375
2010-08-23,8545.203125,8398.2587890625,8220.6376953125,8097.79443359375,7893.4033203125,7566.017578125,7277.17919921875,7032.3740234375,6919.65771484375,6901.21826171875,6983.77880859375,7279.25048828125,7682.275390625,8494.6513671875,9198.91015625,9613.810546875,10016.9111328125,10158.7041015625,10060.080078125,10147.4072265625,10084.529296875,10017.173828125,9938.4443359375,9849.64453125,9731.23828125,9684.6484375,9584.3701171875,9520.615234375,9461.7470703125,9469.7470703125,9357.59375,9400.009765625,9501.767578125,9721.9365234375,10020.4658203125,10555.091796875,11194.333984375,11407.0380859375,11293.8564453125,11059.8525390625,10843.677734375,10683.509765625,10478.4208984375,10125.890625,9708.62109375,9722.88671875,9433.6982421875,9293.697265625
2010-08-24,9071.6083984375,8875.0771484375,8674.1806640625,8483.552734375,8229.171875,7871.9208984375,7591.4775390625,7374.33544921875,7275.40380859375,7314.171875,7468.51025390625,7926.27734375,8499.1162109375,9344.92578125,10152.4501953125,10528.962890625,10889.873046875,10986.7841796875,10887.392578125,10870.861328125,10816.1533203125,10746.3876953125,10674.53125,10546.99609375,10473.322265625,10416.720703125,10346.30859375,10318.892578125,10257.958984375,10224.7041015625,10194.78515625,10203.587890625,10284.0859375,10439.63671875,10717.853515625,11107.6484375,11607.2294921875,11638.4072265625,11560.3056640625,11343.0830078125,11161.607421875,10968.5146484375,10708.3408203125,10434.5302734375,10043.419921875,10016.1767578125,9710.8056640625,9524.201171875
2010-08-25,9038.2041015625,8906.0556640625,8684.111328125,8514.537109375,8249.962890625,7896.6923828125,7578.3671875,7281.0458984375,7144.4716796875,7122.6337890625,7219.88232421875,7516.62109375,7903.37744140625,8706.951171875,9388.7548828125,9798.296875,10180.76953125,10338.939453125,10209.8779296875,10284.267578125,10181.41015625,10084.6298828125,9969.66796875,9880.2509765625,9727.8837890625,9670.2158203125,9548.8603515625,9470.2978515625,9414.4248046875,9414.0830078125,9304.9384765625,9352.736328125,9450.1162109375,9648.5556640625,9926.3369140625,10428.0185546875,11041.326171875,11262.2880859375,11181.548828125,10990.0751953125,10788.7900390625,10622.7294921875,10443.5673828125,10143.5703125,9760.2099609375,9771.5478515625,9468.1064453125,9321.427734375
2010-08-26,9146.6015625,8987.8544921875,8775.306640625,8617.427734375,8359.66796875,7988.8349609375,7661.71923828125,7361.67431640625,7218.072265625,7178.779296875,7256.5048828125,7542.71142578125,7933.80419921875,8743.0869140625,9451.361328125,9886.9287109375,10310.0126953125,10471.0400390625,10359.494140625,10430.392578125,10334.6865234375,10239.1044921875,10121.9853515625,10010.27734375,9867.28125,9800.4716796875,9682.080078125,9599.9912109375,9538.416015625,9530.27734375,9426.3515625,9470.2158203125,9575.8505859375,9798.056640625,10114.0546875,10657.806640625,11324.904296875,11551.7841796875,11457.40234375,11240.357421875,11034.6767578125,10873.107421875,10685.5009765625,10351.3232421875,9949.4287109375,9945.0205078125,9628.6162109375,9471.4482421875
2010-08-27,9265.2431640625,9081.2783203125,8871.638671875,8709.125,8448.32421875,8060.474609375,7728.22509765625,7433.4599609375,7284.44677734375,7239.0458984375,7308.24951171875,7595.46826171875,7994.00244140625,8783.830078125,9502.3095703125,9944.58203125,10388.6357421875,10557.69921875,10474.591796875,10536.353515625,10449.689453125,10358.19140625,10237.947265625,10107.1318359375,9977.162109375,9901.478515625,9788.69140625,9706.857421875,9640.2197265625,9621.83984375,9534.861328125,9567.0048828125,9674.1572265625,9897.25390625,10233.2373046875,10775.60546875,11450.1083984375,11655.875,11565.7197265625,11335.349609375,11133.8017578125,10972.4267578125,10776.21484375,10439.08203125,10038.98046875,10020.1103515625,9701.958984375,9534.357421875
2010-08-28,9047.9833984375,8917.1044921875,8691.779296875,8516.7138671875,8249.4462890625,7891.2724609375,7569.69482421875,7267.01171875,7122.9130859375,7096.5263671875,7188.33935546875,7466.1865234375,7826.83984375,8600.8935546875,9258.7744140625,9660.5302734375,10041.21484375,10212.9072265625,10099.0322265625,10180.904296875,10075.4169921875,9978.880859375,9857.0205078125,9768.412109375,9611.4091796875,9549.37890625,9425.3056640625,9339.9619140625,9285.337890625,9285.6162109375,9178.4326171875,9221.7421875,9315.79296875,9508.2890625,9785.6357421875,10279.7626953125,10888.5595703125,11118.107421875,11049.318359375,10862.2470703125,10662.40625,10499.16015625,10330.6748046875,10040.7216796875,9672.35546875,9684.67578125,9390.4609375,9250.8271484375
2010-08-29,8762.5634765625,8593.4443359375,8387.728515625,8216.9130859375,7964.447265625,7609.2919921875,7292.91796875,6998.732421875,6838.80810546875,6739.79833984375,6729.21875,6803.3681640625,6948.97607421875,7449.5244140625,7892.306640625,8330.18359375,8814.369140625,9139.2998046875,9210.59765625,9415.1220703125,9352.1640625,9298.2548828125,9164.8173828125,9068.3857421875,8911.7939453125,8836.4365234375,8713.755859375,8595.4306640625,8533.658203125,8527.75,8419.5498046875,8458.3603515625,8567.08203125,8767.65234375,9074.02734375,9572.7216796875,10222.255859375,10540.146484375,10474.19140625,10271.8984375,10073.2060546875,9941.1953125,9812.88671875,9503.373046875,9177.4443359375,9180.5283203125,8932.48046875,8822.3701171875
2010-08-30,8461.4560546875,8350.8310546875,8162.7294921875,8034.794921875,7825.65673828125,7511.03857421875,7222.16845703125,6962.26416015625,6846.69287109375,6836.18310546875,6932.8271484375,7221.0146484375,7600.6826171875,8419.6865234375,9099.189453125,9490.158203125,9855.6015625,9993.3310546875,9866.255859375,9960.916015625,9881.1123046875,9805.818359375,9719.8115234375,9655.1787109375,9515.1083984375,9474.4501953125,9363.12890625,9294.5517578125,9243.1630859375,9262.5224609375,9134.0341796875,9184.72265625,9280.5263671875,9488.376953125,9759.361328125,10282.1904296875,10899.9052734375,11135.658203125,11037.341796875,10825.1025390625,10608.8193359375,10447.7294921875,10263.5947265625,9934.2216796875,9529.96875,9565.140625,9285.8349609375,9164.6904296875
2010-08-31,8812.4423828125,8682.9814453125,8470.8525390625,8291.330078125,8036.78076171875,7707.072265625,7427.10498046875,7185.6982421875,7088.365234375,7131.88037109375,7293.0615234375,7714.40185546875,8219.990234375,9081.4873046875,9835.9052734375,10182.6201171875,10486.8427734375,10580.857421875,10425.7822265625,10439.9970703125,10353.2841796875,10268.318359375,10191.4423828125,10107.1708984375,9995.849609375,9951.1533203125,9853.0517578125,9813.7568359375,9762.919921875,9756.841796875,9682.8984375,9719.9599609375,9790.6484375,9940.7900390625,10174.837890625,10580.6103515625,11067.08203125,11178.67578125,11104.4453125,10924.7509765625,10737.7392578125,10548.357421875,10328.0380859375,10070.1025390625,9697.0947265625,9714.8193359375,9426.84765625,9272.7978515625
